food, recommend, delici, high, servic, absolut, beauti
servic, good, atmospher, nice, excel, realli, food
friend, staff, attent, love, help, realli, waitress
great, brunch, bottomless, food, love, stephan, servic 
alway, tast, indian, restaur, year, nawab, curri
amaz, fantast, food, thank, experi, incred, even
tabl, book, arriv, busi, wait, night, place
steak, experi, meal, voucher, cours, virgin, part
welcom, like, famili, feel, made, make, warm
will, definit, back, come, food, visit, return
restaur, review, visit, disappoint, expect, trip, tri
best, london, one, ever, ive, food, week
greek, dish, authent, lot, camden, alexand, salad 
starter, meze, order, mix, meat, fish, share
menu, set, cocktail, choic, meal, offer, extra
perfect, cook, waiter, wine, good, howev, food
time, last, first, never, work, dont, whole
price, portion, reason, generous, manag, big, well 
serv, full, flavour, start, also, vegan, breakfast
restaur, just, food, place, visit, lunch, love
