"","documents"
"1","We went to the restaurant for dinner and had a lovely, warm experience and tasty food. Special acknowledgements for Eileen (the waitress), Andreas (The waiter) and the Cypriot barman who made the evening special. Kind regards, Gosia and Rob"
"2","Always great food with amazing selection and great service with a laugh! Thank you very much for the service"
"3","The food was delicious in addition to being HUGE portions. Our waitress Eileen was also great and all staff was very attentive as well. Would definitely recommend"
"4","Vasilis was very polite waiter  the service he gave us was very good this is my second time here with my friend I would recomend this reasturant to anybody that likes Greek food the food was lovely  an we'll presented."
"5","Vasilis  was a great waiter. The service was excellent the food was amazing very warm and welcoming restaurant"
"6","Best Mediterranean Greek food in London. Great quality vs price and Vasilis made us an awesome Raki warm cocktail! We felt like home."
"7","We came for my friend birthday and she was made to feel so special. Amazing service and food. 100000000000% will return."
"8","Great food great staff - a joy all round! Very generous portions.  Andreas was lovely! Will be back for sure."
"9","Eileen was incredibly nice with us, she took care of all the details to make sure it was an unforgettable evening for us."
"10","Superb food, we had the mezze for 2, generous amounts and very fresh. Great service from Andreas. Highly recommended."
"11","We were really happy with the quality of the food. Generous portions and tasty food. My personal favourite was the homemade spanakopita."
"12","Greece and Cyprus on a plate. Wonderful food and wine, great service and music. Atmosphere!  what more do you need."
"13","The spinakopita and the octupus were incredible and the staff were so friendly and welcoming. I have previously lived in Cyprus and this is top quality greek food at a reasonable price. I will be back soon."
"14","Booked a large table online for a work lunch, received a very warm welcome and great friendly service. Food was all delicious and all agreed. Thanks so much, will come again for sure! Made the stressful task of booking a farewell work table for 18...More"
"15","Very nice food, good quality! Our waiter Vasilis was very friendly and attentive! Thanks! The mossaka was delishes!"
"16","The restaurants has a wide choice of plates for every taste, and the fish is really fresh. I will never forget the kindness of Andreas and the rest of the personnel, I’ve never experienced such a nice hospitality."
"17","Had an excellent night at Alexander The Great, Andrea was a great server and should get a raise because he’s so excellent! Thank you Andrea :)"
"18","Live round the corner and been meaning to come for ages - glad we did! Our waiter Andreas was lovely and his recommendations were spot on. The food was delicious and a really lively  friendly atmosphere. We’ll be back"
"19","I booked a table for my best friends birthday for a party of 6. From the second we arrived we received amazing customer service, especially from Andreas who made us laugh all night. The food is delicious, alongside incredible portion sizes for amazing value. Overall...More"
"20","Good food and good vibes. Andreas was amazing and super friendly, such a great host!! The food was really tasty"
"21","Came here for my bday meal with 8 people and the service, food and drinks where fantastic! The team where really helpful and attentive , food was amazing and just keeps on coming! We will definelty be back here again , thank you so much...More"
"22","I come here often and we came yesterday to celebrate my dads birthday. As a Greek cypriot i love meat platters and this is by far my favourite place! Andreas, our waiter was very welcoming and friendly. Will definitely come again soon!"
"23","Visited Alexander the Great this week with my family. We all shared the starter of grilled octopus (was absolutely amazing) and dips, and then went on to have individual meals. Everything was grilled to perfection. Sea bream, octopus, lamb cutlets, pork kebabs and sheftalies. The...More"
"24","A diverse group of six with VERY different tastes and dietary needs...all had a fantastic experience and loved the food. Our friend Stephen was not familiar with Greek food and had been worried he would not enjoy it, but he had nothing to worry about:...More"
"25","Best Greek food in London! Welcoming and helpful staff, great atmosphere and food is amazing, Thank you for a great evening!"
"26","I had an amazing experience at this restaurant. The service and ambiance was exceptional and the food portions were extremely generous. There was not a single thing that did not taste 10/10. Will definitely be returning."
"27","Amazing food even better staff full of love and energy. Was having a rough day before chowing down on some great grub.  Shout out  Andreas xxxxx"
"28","The best restaurant in London. The food is delicious, the place is lovely, and the service is warm, friendly, and efficient. Vasilis, our waiter, was cheerful and attentive and gave us excellent suggestions. Will come back! You must try their moussaka!!"
"29","This is lovely restaurant with some amazing food. The vegetarian mousaka was so nice and they were very accommodating for vegetarians with their lovely halloumi as a starter. The decor is charming, highly recommend"
"30","Food was nice and the waiter was friendly. Nice decor and affordable prices. I would recommend it to others."
"31","Food was amazing most definitely recommend this restaurant, the service was very professional and I would certainly return again."
"32","Had such a good experience at Alexander the Great. Eileen made our experience unforgettable! She was so jovial and kind. Couldn’t have expected anything more !"
"33","Amazing food, great quality and very nice staff! Varied meals, all very tasty! Andreas the manager was great too"
"34","Came to Alexander the Great for my friends birthday meal. Food was fabulous and plenty of it. The staff were great and made us feel very welcome."
"35","Amazing food, atmosphere and staff. Vasilis took great care of us during my friend's birthday meal!! Thank you everyone. I would highly recommend x"
"36","Great food and the staff are amazing! Thank you to Vasillis and Andreas for making our time the best!"
"37","it was my birthday and choose alexander the great for a meal with my family...we had meze for all of us ...food from beginning to the end was fantastic ...started with 11 dips out of this world then came the hot from halloumi,smoked lounza to...More"
"38","Excellent food - fish so fresh Meze was very varied and tastyService was excellent- thank you Andy and team!"
"39","Amazing food (delicious fresh sea bass) and great and friendly service! Thank you Andy for making our visit so fun! Will be back and strongly recommend!"
"40","Food was delicious and service was great especially Andy. Will recommend and visit again. Lived up to its name “The Great”.Thanks"
"41","Came here yesterday for an early evening  Birthday meal and it was fabulous. The three of us had the Meze and it was amazing but you do need to pace yourself!!  The starters were delicious, with a vast array of small plates to sample,  followed...More"
"42","Great real and fresh Greek dishes, I loved in particular the greek yogurt with honey and nuts. Will I come back ? For sure."
"43","Came here on Wednesday 23rd March for our anniversary after dining here before. Greeted with a bottle of prosecco each and we had some amazing Tzatziki to accompany an amazing sea bream and sea bass. Absolutely amazing food and thanks for the lovely time in...More"
"44","Small and inviting great authentic food restaruant.  staff was attentive and took care to understand dietary needs.  generous portions and fresh - - had the fish.  Need reservations."
"45","We had dinner last night it was soo goood food was delicious, the portion sizes where big we had vine leaves and mousaka  totally recommend it!!! And the best of all was the service our waiter Andy was so nice"
"46","Myself and my girlfriend randomly popped into this restaurant on a quick day trip to London this evening and the food and service was fabulous. Andy our waiter was an absolute gent and had the food out to us in no time between courses. We...More"
"47","Great atmosphere, really good food quality and Vasilis the server was super friendly and helped us with all our needs. Excellent service and overall a great dinner."
"48","From the moment you walk in, you are greeted with a smile and a joke. My brother and I were lucky enough to get Andy as our waiter, who made us laugh over and over again during our time at the restaurant. The menu offers...More"
"49","I went to this restaurant with my boss to try Greek food and we were both really impressed, as the food was great and the waiter for the evening (Vasilis) was very pleasant and always there to see if we were happy with the food...More"
"50","Welcoming service from the moment you sit down to the the last bite of desert. The service is great, welcoming, and entertaining; Andy’s easy-going humour and attentive service makes you feel truly like a welcomed guest. I had a meal for dinner with my sister...More"
"51","Honestly from the staff to the food you left this glorious resturant smiling. It really made our Sunday!!Cant wait to come back"
"52","Lovely restaurant in Camden. Very Friendly staff and great Greek food! With Affordable pricing too. Definitely recommend"
"53","Good food, great service, fun time over all! Nice location and good interior design! Would recommend!"
"54","Great restaurant, great food, great service. Highly recommended. If you have one night in London or are in Camden give this place a visit"
"55","Came here for a friend’s birthday meal, a big group of 10 of us and we were all treated really well. Andy was amazing a made us feel so special. Had the mixed grill which was amazing and we were treated to a free bottle...More"
"56","Sometimes you go into central London and get nervous about the service for the cost you get. But not with this restaurant! The food is unbelievable and the service even better! Will definitely come again."
"57","The food was absolutely delicious! Really beautiful little restaurant setting would 100% recommend visiting."
"58","such lovely food, the food portions were really good and the mousakka!!! so good. thanks to andy for serving us he was great."
"59","Lovely service. The waiters were super polite. The food was absolutely lovely . They made my birthday great"
"60","Lovely lovely place to eat, wonderful food! GrEat hospitality Andy was lovely I loved this place was amazing"
"61","Crazy food, portions for truck drivers as we say in Italy, amazing hospitality, will definitely come back!"
"62","The food was very good, simple and authentic. The waiter and everyone else have been extremely welcoming. I would really recommend it!"
"63","Delicious food and great service, very welcoming, I wil be coming back for sure. The fish was super high quality as well. Had a lot of fun"
"64","We visited this Greek restaurant on a very cold March evening with my lovely friend to catch up. Nice location and easy to find via google map, just walking distance from Mornington Crescent Station. As soon as we arrived, theres a nice guy who greeted...More"
"65","We had the mixed Meze for 2.  WOW so much food we eventually had to surrender!!  would have asked for doggy bags if we lived closer, but visiting and staying in a hotel was not possible. Amazing Meze selection of dips, meats etc.  Service and...More"
"66","As a family we rocked up at 9.35pm on a Sunday we were welcomed with open arms. Andy is the charm of this place with the best sense of humour had us all in stitches. The food was incredible exactly what we needed after coming...More"
"67","We had the absolutely best time at this restaurant and everyone was super duper lovely especially Vasilis (sorry if I've spelt it wrong!)Considering I had to reschedule the time for a later time at the last minute, they were very accommodatingThe restaurant was...More"
"68","As soon as we arrived we were greeted by all staff, they were so friendly and couldn’t do enough for us.. I brought a friend here as the last time I came, it was unreal and again they topped it! The best Greek food in...More"
"69","We came as a huge school group and Vasilis was so helpful and accommodating! The food was absolutely incredible - especially the backava!"
"70","Vasilis was so friendly and the food was great. Especially the main dishes! The grills were perrectly cooked with great balance of spice."
"71","We loved the food and the service couldn’t be better! Vasilis was really nice. We will be back very soon!"
"72","We had Vasilis as our waiter and he was,honestly, great! Super fun and on top of every need we had. Food was amazing as well, an authentic Greek bite :)"
"73","Thoroughly enjoyed the whole dining experience  at this family run restaurant.  From the moment we stepped in to the time we left the staff were really attentive, helpful and generous!The food was authentic  and so tasty! Who knew Greek wine could be so delicious?...More"
"74","We booked down stairs for our daughter’s 25th birthday with nineteen guests.  What an amazing restaurant! The food was EXCELLENT and lots of it, dish after dish after dish. First class service by all, so kind and so attentive. A big thanks to Vasillis who...More"
"75","We were visiting for a family night out and had booked in advance due to the wealth of really positive online reviews. We were made to feel immediately welcome by our lovely waitress Eileen, who gave us some really helpful advice on the wine, and...More"
"76","Booked for a Friday night and the place was buzzing. Were sat at our table promptly all staff were friendly and welcoming. It's a cosy place and fun. Greek music in the background, reminded us of our trips to Crete. The food was amazing, we...More"
"77","We came here on our trip to Camden. It was amazing.  The food was fantastic. We had the vegetarian meze which was enormous, the food just kept coming dish after dish all tasty. Friends had huge sea bass. Andy the waiter was great fun, made...More"
"78","Came here for birthday celebrations with some family & friends. Andy our waiter was helpful and made us laugh! Food was lovely with big portions, even got a cake and champagne on the house. Been coming here for years and never disappointed! Highly recommend :)"
"79","Celebrated my friends birthday here and we had a great time. The food was really good, impressive quantities, and totally worth the price. Really recommend!! :))"
"80","Had a birthday party, the waiters were really friendly! Had really good portion sizes too. Would definitely recommend"
"81","Came here for my 21st birthday with friends, amazing food, amazing service from Andy, highly recommend!"
"82","This was my 4th time here and it’s been incredible every time. Top service, especially Vasilis "
"83","we had the spanahopita and the vegetarian moussaka and it was so good :) the staff is very friendly!"
"84","Literally the best most wholesome meal ever!! Andy was a great server throughout, made us feel like we were in the heart of Greece!"
"85","This place is great. For the mezze options they just keep bringing food over. Every time I go I get so full. Amazing."
"86","A superb lunch with plentiful of good food and impeccable homely service, as always (have visited on several occasions over the past few years).My friend left her phone/purse at the restaurant and the agile owner relentlessly raced down the street to return it to...More"
"87","My fiance and I shared a few hot starters and had the house mixed grill each. Very delicious. Andy is a friendly server who left a smile on our faces. Also loved the decor and the ivy on the ceiling. We left full, happy and...More"
"88","Good food and cracking service, Andy is the man and really looked after us all night, I would highly recommend it"
"89","This is a fantastic family run Greek Restaurant in London. Andreas (Andy) was our waiter, and he was fantastic. Service, stories and the amazing food that just kept coming. The food was exceptional, and we ordered the Mezze platter for two, so we could try...More"
"90","This restaurant has been a favourite of our for a few years, but we hadn't visited because of pandemic and associated restrictions. We went last Sunday, a family of four and were served by Andreas. He helped us with our menu selections and we ordered...More"
"91","Great service from Vasilis as always. Amazing food wonderfull atmosphere will return again .and recommended to friends"
"92","Vasilis was a great waiter nice friendly service always good to visit nice food .I do enjoy the restaurant will come back again."
"93","Went on Wednesday afternoon so restaurant quiet staff very friendly great traditional Greek food would return when next visiting Camden area"
"94","My friend and I have wanted to try this restaurant for a while since living and studying near it. We were not disappointed at all, the food was amazing, the service by Andy was amazing, we couldn’t have asked for anything more! Would totally recommend...More"
"95","Really friendly, really nice environment, really friendly service. Had the lamb shank which was really tasty Wine was really sweet and nice with the mealLemon chelo for free? Yes pls"
"96","The food and portions were so good I forgot I was in London, my waitor Vassilis was an absolute star!It's got a lovely interior with traditional greek music, it's a shame I didn't bring more people so I could cash in on the free...More"
"97","They do not mess about here with portion sizes! If you get the shared set menu (can't remember what it's called but the one with lots of different courses) then I hope you show up Hungry with a capital H. Each time you think the...More"
"98","We visited this restaurant on a recent trip to Camden after checking out reviews on here. Boy am I glad I use tripadvisor. The atmosphere was brilliant lots of chatter which we always enjoy when out for a meal. The staff were excellent, especially Eileen...More"
"99","Went here with 2 friends a little while back. The food was amazing, we all ordered the vegetarian menu - food was plenty, and simply amazing! Our waiter was Vasili who was quite funny. We even got a free round of Uzo & desert. Would...More"
"100","food was excellent and service was great, Got help with our menu choise and drinks, the place was full, which is always a good sign. well worth a visit for Greek food. well worth a trip"
"101","Charming little place with very friendly and welcoming staff. I ate moussaka and my wife had fish kebab.  Both dishes were very good indeed and portions were also generous and prices reasonable. We plan to come back and try out the rest of the menu."
"102","What an amazing restaurant. The value for money was unbelievable really. Great food, I mean wow!!. All staff were so friendly Eileen especially, she was brilliant all night after knowing we were celebrating graduation we were surprised with a warm appreciation from the whole restaurant....More"
"103","This is one of the best places to visit in London! The food was amazing, ordered meat mezze and all the dishes were delicious. Best choice for Greek food! The restaurant is cozy, the service was excellent and the staff were really friendly. It's a...More"
"104","Absolutely delicious food we had the grilled octopus and the lamb. The service was exceptional! Thank you Vasilis"
