"","documents","ViaMobiles"
"1","From the welcome to the goodbye, it was truly incredible. We had a fantastic waiter who guided us with food and wine. The food was second to none. It was both of our birthdays and we were given dessert with the ‘happy birthday’ on and...a sparkler aswell as an apron as a gift. We had the best time.More","Not Mobile"
"2","We bought a Living Social 3 Course Lunch with Cocktails, and after seeing some of the reviews we wondered if we had made a mistake, But no, we had a wonderful lunch starting with 2 very alcoholic Cocktails a Cranberry Blush and Whisky Mac, Starters...were a Beetroot a Goats Cheese Salad and very substantial Potted Duck with sourdough, delicious. Mains were Confit of Duck and Rump Steak with Extras of King Prawns and Panzanella Salad  both really good but we expected the Confit of Duck to be off the bone, but we did wait 35 minutes after starter plates had been removed before our mains were served. We known food is cooked to order but other covers who had arrived after us were served before us. We both had the Lemon Posset for dessert which was  to die for. Will we go again yes when we visit London from the North East and hopefully the service standards will have improved on our next visit.More","Not Mobile"
"3","Virgin experience day. Lots of emails asking us to upgrade before we got there, meant we didn't expect much and that was just as well. We were rushed through in an hour. Steak was OK, beef bourguignon was fatty,cold and tough. Its a factory of...red letter days with hugely overpriced extras that you have to order (drinks and veg to go with your main) .......never again will we book a restaurant through virgin experience day.More","Mobile"
"4","We went for my Girlfriends birthday, they brought out a plate with happy Birthday katie, the chap who served us was really friendly. Food was lovely and great value for money with the meal deal including a cocktail each.  Next time will order from their...website not a third party. Thank You MPWMore","Not Mobile"
"5","My wife and I visited yesterday and had a very good meal in pleasant surroundings and very happy, attentive waiters. The meal was part of a package and it could not have been nicer. The restaurant has a lovely traditional feel to it and would...not be out of place in any European city. The standard of the food was very good and the service top notch, although the drinks were a bit pricey. Highly recommended and will visit again.More","Mobile"
"6","We visited this restaurant for a special anniversary lunch. From the moment we entered we were treated wonderfully by the Manager. The waiter was really nice and attentive, the food was lovely and our friendly manager even managed to put a special chocolate message on...our dessert plates too! It was our first visit to the restaurant and we would definitely visit again. Thank you for your part in making our day a special one More","Not Mobile"
"7","Steak was beautifully cooked and sides were very tasty. Cocktails were really nice. The team made you feel welcome and were very attentive. All round wonderful experience thank you.","Not Mobile"
"8","This was bought as a birthday present using a red letter day experience. I must add we hadn’t read any reviews before we visited, so we had no preconceived ideas of what we would get. Yes we had looked at the menu but it’s slightly...different if you have a voucher.The staff were attentive although the restaurant wasn’t busy when we arrived.We chose the Ham hock terrine, Duck Pate, rump steak one done blu, and my daughter stated that it had to be cooked this way and no more. I had one done medium. Dessert were Sticky toffee pudding and an apple crumble. Sides were fries and onion rings. We asked were the sides big enough to share , the waiter took a moment and said yes.We decided we were going to share everything except the steaks meaning we could experience everything.Just remember that all you get on your plate is the steak and everything else you pay additionally. We asked for tap water and was given it per glass, which must add extra work to their load. Just leave the bottle on the table.The ham hock terrine was ok, not much flavour but the duck pate was absolutely delicious.The steaks well what can I say a disappointment. The blu was more medium. Both steaks were tough. My medium was stringy and was flat and small, not juicy at all. The head waiter came over to remove a glass from the table as he was leaving my daughter mentioned her steak was over cooked and tough. To be fair he did change hers and offered to change mine. I was over mine by this time and didn’t want to wait any longer as I was hungry. Although I wish I had. My daughters second steak came and it was perfect. I tasted it and it was delicious and so tender. It showed me how tough mine actually was.The chips are cut very thin and was crispy, too crispy on the old side. And the onion rings were all greasy batter and lacked onion in the middle. Sadly Wetherspoons steak and onion rings are far superior, that is so sad to write.The side portions are tiny.The desserts were the star of the meal. The sticky toffee pudding was absolutely amazing. Apple crumble was lovely.The cocktails tasted like fruit juice although were pleasant.The toilets are old, need a clean. It’s not nice to see the cleaning cloth and blue roll resting in the fake orchids. The toilets don’t fit in with the look of the restaurant or where the restaurant is positioned!! For what we paid for the voucher it was ok, being in the centre of the city. If we had paid full we would have been very disappointed. It would have only got 2* at best.Did I feel that we were treated differently to those paying full, yes is the answer. I understand why they offer these vouchers but they need to have the grace not to let this effect the outcome of the experience.More","Mobile"
"9","Mediocre service and mediocre food, as such, over priced.  Ladies loos were particularly shabby which reflects badly on the restaurant as a whole in my opinion.","Mobile"
"10","What a fabulous meal, service was amazing. Staff couldn’t have been nicer our waitress was so nice and very helpful. We will definitely be back very soon. A big thank you to all staff especially our waitress and Genti that couldn’t have been nicer if...they tried regards to allMore","Mobile"
