"","documents"
"1","Amazing food. Huge portions. Friendly waiters. Authentic atmosphere. Great pricing. House treats. What else do you want?"
"2","Fresh, delicious and authentic Greek food, generous portions, and warm and wonderful service, not least from Eileen who made us feel so welcome! Thank you for a great experience, enjoyed by all, and hope to return when next in London."
"3","Authentic Greek food.  We really enjoyed the restaurant very cousy place. Excellent customer service by Vasilis and Andreas"
"4","Very authentic, food was delicious Vasilis and Andrea’s very friendly and gives great service Perfect for birthday celebrations was wonderful !!"
"5","The experience was warm and nice, the food was very tasty. Its quite difficult to find an authentic restaurant. Vasilis & Andreas were very friendly and attentive. 100% recommendable!"
"6","Went to Alexander the Great with some friends after seeing the awesome trip advisor reviews, the place deserves placing the 6th best restaurant in London. Value for money is outrageous and the service is fantastic. We were served by Eileen who was great, always made...sure that everything was going perfectly and we were looked after. The food was amazing, had the mezze which was cooked over charcoal and you could tell.There is little more to say about Alexander the Great - if you want stellar value for money and a casual but friendly Greek restaurant look no further. Would definitely return again.More"
"7","This is the best restaurant in London!! Eileen and Andreas are amazing servers. The food is delicious and amazing value for money. Would highly recommend everyone go!"
"8","This place is faultless! Great vibe and energy from the employees. We got the shared meze and it changed our lives! Will definitely return"
"9","The food was OK, although my moussaka was not very warm in the middle - still tasty, though. Disappointed that there was only a single red house wine by the glass - I'd have happily paid more for a decent wine but that was only...available by the bottle. I'd like to give this 3.5 rather than 3, but Trip Advisor only has average and very good, while this merits a good - it was certainly OK, but for the rating on Trip Advisor (6th best restaurant in London - which apparently makes it *the* best Greek restaurant in London) I would have expected something truly outstanding.More"
"10","Great food, great service, great atmosphere!! And such good value for money. We will definitely be returning."
"11","Great meal, large portions, good prices, and amazing, friendly staff! Very accommodating for our friend’s birthday"
"12","Yummy! Good portion sizes! Good service! Good fun!! 100% recommend! Will be returning for sure!!!!!!"
"13","It was a warm surprise at the restaurant. Vassilis was very helpful and friendly. When we mentioned that it was my son‘s 16th birthday, Visilid said he was going to do something special. And he truly did something special for us, when he and the...More"
"14","We found the resturant  on Tripadvisor and we dont regret visiting!The resturant had a real cozy and autenthic atmosphere and the food was delicious. We got the food fast and the waiters was really friendly. 10/10, will absolutely visit again!"
"15","The staff was exceptionally friendly! We really felt at ease and the food was super lovely. The fish was really fresh."
"16","This typical Greek restaurant serves the Greek food you are looking for in the friendliest and most pleasant way possible!"
"17","Myself & my husband had been here previously on our visit to London and we loved it so much we came again! We had the mixed meze and it was amazing! So much food and such good value for money! They even gave us a...More"
"18","Andreas the great! We had the most delicious meal at Alexander The Great today. Andreas was fantastic and so friendly. The food was superb and took us back to the most amazing holiday in Greece! We will be back! 10/10"
"19","WOW- the food, the drinks and the service were 5 stars . A special mention to Eileen who was a  great waitress. Can’t wait to return."
"20","Amazingly tasty food, VERY TASTY , but it tastes even better served by Andreas. He's creating a homie atmosphere, I felt very welcome."
"21","The food in this place is amazing! Everyone was full but we could not stop eating. The service is great as well, Andreas is very skilled and helpful!We will definetly be back!"
"22","Came in a large group and had the vegetarian mezze. It was SO reasonably priced - loads of food for a tenner each. There was a great variety and everything was delicious. Great options for vegans, vegetarians and carnivores! Food came quickly too and tasted...More"
"23","I came here a few years ago and had a lovely time. Five years later nothing changed! Lovely and friendly service from Vasillis. Great food and big portions. Authentic Greek food! I will be coming back and bringing my family in May. Thank you for...More"
"24","Very friendly. And delicious food. Especially the lovely guy,  Vasilis. A Fantastic experience. I will definetely come back!!!!"
"25","I had an amazing time today at the Alexander The Great restaurant. The food is delicious and the hostess Nicole is a smiley and friendly young professional. She knows how to handle a business. Excellent service. Coming back soon!!!"
"26","They hosted around 40 of us yesterday for a birthday gathering and we could have not selected a better restaurant! Our waiters were incredibly friendly and attentive, bringing us 5 courses pf our set menu, which was DELICIOUS! Starting with the cold mezze, following with...More"
"27","Wonderful service! Delicious food, extensive menu and the portions are very generous. Would definitely come back here!"
"28","I had a lovely mixed grill here. Would definitely recommend. Andreas was a great waiter and made us feel very welcome."
"29","I've been there with friends, we were very well served by Andreas and the food was amazing!Veal was tender and soft and Baklava is a must for the dessert!"
"30","Great Greek food in Camden! Lovely atmosphere , very welcoming and friendly staff. Special thanks to Andreas for the helpful suggestions on the specials of the day!"
"31","We had a great time, amazing food, all the staff were so good and helpful! We loved our experience and definitely going to come back!! Great for everyone!!!"
"32","We have visited once before and were keen to return. The staff are so friendly and welcoming and it has a vibrant atmosphere. There is a great choice of food and large portions. We chose a mixed meze, which offers a delicious  selection of different...More"
"33","Wonderful service, our server Andy was very friendly, polite and courteous.Delicious food and good portion sizes!!!"
"34","Booked Alexander the Great for our 1st night in London after reading top quality reviews and we weren't disappointed.As soon as we arrived we were greeted by Andy who made us feel very welcome and was extremely warm and friendly.The smell as we...More"
"35","Me and my friends came last night and we had a fabulous meal! The food vas extremely tasty and I’m very fussy but the sea bream recommended by Andreas was super fresh! He was super patient explaining all the dishes and very friendly. Thank you...More"
"36","Amazing and fresh Greek food, good vibes, very clean and cosy restaurant in the heart of camden Town, highly recommended. Round of applause for Andreas, best host ever, thank you so much for the hospitality and I ll see you again soon :) grazie!"
"37","The food and ambience was great. The Octopus and Spanahopitta were extremely delicious.  Vassilis was amazing and made us feel very welcome! Definitely a place that we will visit again!"
"38","We love this restaurant. The food is superb and the service is great - thanks Andy!  Had the Seafood Meze today and it was fantastic. See you again soon!"
"39","We had a large group dinner out here and it was great! The food was plentiful and delicious and Vasilis and his staff were really accommodating to our large group. You could never leave here hungry and the flavours were excellent. Lovely atmosphere and overall...More"
"40","Amazing dinner this evening, When we arrived we immediately felt like family, so welcoming and hospitable. Andy, our server, was attentive, helpful with the food and wine suggestions which were right on! We started with the spanahopitta, dolmadakia and then the souzoukakia, mixed grill and...More"
"41","Wonderful food and atmosphere in this lovey authentic Greek restaurant. A lovely welcoming environment with personable and funny staff, thank you to Andy for making our night feel extra special with his great personality that entertained and served at the highest of standards. Great food,...More"
"42","Amazing Food and atmosphere. Eileen was amazing made us all feel so so welcome and nothing was too much for her! I am a regular because of Eileen! Always have the best meal when she is in! Thank you Eileen for making our visit outstanding!"
"43","The food is absolutely amazing! The portions are huge! Love it ! Service is fantastic too. Thank you Andrea for the lovely service !"
"44","We had an amazing experience. The food and service were fantastic. Our waitress for the evening (Eileen) made us feel like we were guests at her home. She made us feel very welcome and there was a great atmosphere. We were there to celebrate the...More"
"45","The staff was very friendly and welcoming. The food and drinks were delicious. I recomment the house platter."
"46","We went there as an outing with a large group of friends Delish food and good ambience.Great for groups Friendly staff."
"47","Great food with a fun atmosphere. Very friendly and helpful staff too. We had an excellent meal with extraordinary service."
"48","Such a beautiful restaurant with a great vibe!! The staff is soooo nice and kind, the food is delicious and the vibe makes the place unforgettable! Absolutely recommend this fantastic place if you'd like to spend a great time and have amazing food to try!...More"
"49","A lovely experience from start to finish. A brilliant celebration of a birthday in our party with smashing food and brilliant service"
"50","Thank you Andy for the lovely service and lovely food. A very great experience! Definitely filled us greatly."
"51","Vasiles was our server and he was amazing! This is my second time here and I love it so much!! Will be back soon!"
"52","The service is impecabile and food delicious The atmosphere great, will definitely come back, I and my family definitely recommend it.We did celebrate the birthday of a family member, if you want to have a royal celebration, with the perfect service and delicious...More"
"53","best greek restaurant in london!!!!!!!!!!!! food was amazing and such good price for the quantity of food we got served !!!!!!!!!!!!! i’ll definitely be back"
"54","Frendliest staff ever! Food was fresh and tasty (it is difficult to find good fish in London), especially the lemons!!!"
"55","AMAZING THEY ARE SIMPLY AMAZINGAmazing food and amazing people I will definetelyCome backBeast restaurant in LONDONNNN"
"56","Food is always delicious and Andy the main man who serves you is a classic gentleman and a top guy! Will be coming back soon! Finn and Pilar"
"57","Decided to try the restaurant after reading the reviews. Glad that we did, lovely food, huge portions and friendly staff. Would definitely recommend a visit if in the area."
"58","Ate here yesterday evening with family aged 5 to 60. Chose the mixed meze at £24 per person with selected items for the little ones.Excellent food, generous portions and very friendly service.We had chosen the 5pm to 7pm slot to suit the children....More"
"59","Very lovely experince. We have ordered the meze sharring platter, it was so great and filling and tasty at the same time, we also had two bottlesof wine for a reasonable price. The whole evening was great, you can tell that greek hospitality is on...More"
"60","Outstanding service, great meze, absolutely loved it. Good value as well. I would recommend this to anyone looking for good Greek food"
"61","Excellent food, enough food to feed an entire village, 10/10 would recommend, really friendly staff and an amazing location"
"62","Lovely hosting from Vasilis. So kind and attentive!! Always such a joy to come here. Amazing food and also the Greek music is also an added bonus."
"63","I have eaten at this restaurant on many occasions over the years.Today's meat meze was superb, service excellent and very reasonably priced. An afternoon well spent."
"64","We are visiting London and booked in at this little gem because of the top reviews it has. The food was delicious, the service was top notch and atmosphere friendly and warm."
"65","Amazing service and delicious food, I would highly recommend and you will not be disappointed. Mousakka pretty crazy"
"66","David and Janice. Nothing more can be said we have read the other reviews. The wine, only £23, was the best we had on our 7 day economy trip to London. The food was excellent, the staff were extremely friendly and helpful and the cleanliness...More"
"67","We had a lovely meal, excellent Greek food and Andy who served us was fantastic! We ordered the mezze and it was delicious."
"68","Visited last night and the whoe experience was lovely.  We were looking for somewhere to eat before our night out. The foid was amazing  and service friendly.  We are due back in Camden in March so will rebook and bring our friends too."
"69","Had such a nice Friday night supper here. Eileen served us and she was lovely, as was the food! Everything was really delicious."
"70","Thoroughly enjoyed our trip to Alexander the Great for my friends birthday. We went for the mixed meze and left with 2 boxes of food to eat later on! Every single item of food was beautiful, I don’t have a single complaint. Incredibly generous portion...More"
"71","Absolutely amazing restaurant. The food was fantastic and the service was even better. Alex and Eileen were brilliant and could not for enough for you. Will be back many times. Probably the best Greek restaurant I've been to."
"72","What a lovely evening we have both just had from start to finish with the excellent and Friendly service from Andy and Visalia ? , a true family atmosphere , the food authentic and delicious and If you order the meze for 2 like we...More"
"73","Booked on a Sunday evening so not too busy. Well decorated and friendly restaurant.We had a Meze which was excellent value for money, but also was varied and fantastically cooked to perfection. However due to the portion sizes and variety we were unable to...More"
"74","We visited this restaurant on a Sunday night. We hadn't booked but the waiter managed to get us a table. We ordered the mixed meze and wow the food just kept coming it was like a buffet. The quality and the flavours was fantastic the...More"
"75","Really relaxing place to chat with friends.  The service was really good and the prices are so reasonable.  The food portions are big!  The waitress was so friendly, helpful and patient and at the end of our meal offered us a free drink, which was...More"
"76","Great service, fantastic food and a great atmosphere. Eileen in particular was a brilliant host and made us feel very welcome. Can’t wait to return soon!!!"
"77","Went with a group of about 40 and Vasilis and the whole team at ATG showed us an incredible time. A beautiful interior and basement, they served us Limencello and babka on the house. Cannot recommend this place highly enough- they were so welcoming! Cheers,...More"
